Question,Similarity Search
Como posso guardar Clincina?,Clincina
Posso tomar Clensia na época de gravidez?,"e eletrólitos quando toma Clensia. Deve ser vigiado para uma hidrataçãoadequada e devem ser considerados testes laboratoriais antes e depois do tratamento(eletrólitos, creatinina, nitrogénio ureico no sangue - BUN).Clensia com alimentos e bebidasNão deve ingerir qualquer alimento sólido desde que começa a tomar este medicamentoaté depois do exame.Gravidez e amamentaçãoUma vez que a absorção de Clensia é negligenciável, Clensia pode ser utilizado durante agravidez, se necessário.Não existe experiência documentada sobre a utilização deste medicamento durante aamamentação. Visto que a absorção deste medicamento é negligenciável, pode serutilizado durante a amamentação, se necessário.Se está grávida ou a amamentar, se pensa estar grávida ou planeia engravidar, consulte oseu médico ou farmacêutico antes de tomar este medicamento.Condução de veículos e utilização de máquinasClensia não afeta a capacidade de conduzir e utilizar máquinas.Clensia contém sódio e potássio.Este medicamento contém"
Riopan é indicado a partir de que idade?,"Não tome Riopan: se tem alergia à substância ativa ou a qualquer outro componente deste medicamento(indicados na secção 6). se tem problemas de rins (insuficiência renal com depuração da creatinina < 30ml/min). Em caso de tratamento prolongado com doses elevadas, Riopan só pode serusado com monitorização regular dos níveis séricos de magnésio e alumínio. Os níveisséricos de alumínio não devem ser superiores a 40 ng/ml.Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Riopan.Riopan pode ser administrado a diabéticos e a hipertensos porque não contém açúcar e épobre em sódio.CriançasRiopan não deve ser utilizado em crianças com idade inferior a 12 anos, uma vez quenão existem dados suficientes sobre o tratamento neste grupo etário.IdososA população idosa é vulnerável ao alumínio, constituinte do Riopan. Recomenda-se aprecaução na utilização: dentro das doses terapêuticas mínimas e em tratamentos curtos.Outros medicamentos e RiopanInforme o"
O que faz o remédio de Lacteol?,"Qual a composição de Lacteol A substância ativa de Lacteol é liofilizado de Lactobacillus ""LB"" (Lactobacillusfermentum e Lactobacillus delbriecki), cada cápsula contém 170 mg de liofilizado. Os outros componentes são:Composição da cápsula: dióxido de titânio (E171), água e gelatina.Excipiente: talco, ácido silícico, lactose anidra e estearato de magnésioComposição do meio de cultura: lactose mono-hidratada, extrato de levedura,peptona de caseína, acetato de sódio tri-hidratado, fosfato dipotássico anidro, sulfatode magnésio hepta-hidratado, sulfato de manganésio mono-hidratado e águapurificada.Qual o aspeto de Lacteol e conteúdo da embalagem.Lacteol apresenta-se na forma farmacêutica de cápsulas de cor branca emembalagens de 20 unidades, acondicionadas em blisters de Alu/PVC-PCTFE-PVC."
Em que situações não devo tomar Lorazepam Pharmakern?,"Não tome Lorazepam Pharmakern:Se tem alergia ao lorazepam ou a outra benzodiazepina, ou a qualquer outro componentedeste medicamento (indicados na secção 6).Se tiver miastenia gravis (músculos muito fracos ou cansados).Se tiver insuficiência respiratória grave.Se tiver síndrome da apneia do sono (interrupção da respiração durante o sono).Se tiver insuficiência hepática grave.Advertências e precauçõesTome especial cuidado:Se tem a função hepática ou renal alterada.Se tiver glaucoma de ângulo fechado.Após o uso contínuo durante algumas semanas, pode observar-se perda gradual deeficácia em relação aos efeitos hipnóticos.Tal como acontece com outras benzodiazepinas, o tratamento com lorazepam podeprovocar dependência física e psíquica; o risco de dependência aumenta com a dose e aduração do tratamento, sendo maior em doentes que tenham consumido drogas ou álcool.Uma vez desenvolvida dependência física, a interrupção brusca do tratamento podecausar sintomas de"
Quais são os efeitos colaterais do Rytmonorm?,"Como todos os medicamentos, Mictonorm OD pode causar efeitos secundários, noentanto estes não se manifestam em todas as pessoas.Todos os medicamentos podem causar reacções alérgicas. No entanto, as reacçõesalérgicas graves são muito raras. Os sintomas seguintes são os primeiros sinaisdessas reacções: respiração ruidosa súbita, dificuldade em respirar ou tonturas,inchaço das pálperas, face, lábios ou garganta descamação e aparecimento de bolhasna pele, boca, olhos e genitais erupção cutânea afectando todo o corpo.Se apresentar algum destes sintomas durante o tratamento, deverá parar de tomaras cápsulas e contactar imediatamente o seu médico.Teoricamente, existe a possibilidade de poder sofrer um ataque agudo de glaucoma.Se vê anéis coloridos à volta das luzes ou se desenvolver uma dor intensa em ambosos olhos ou ao seu redor, consulte imediatamente um médico.Foram reportados os seguintes efeitos secundários:Muito frequentes (afecta mais de 1 utilizador em 10)boca"
Quais são os efeitos negativos ao tomar Campral?,"O Campral é um medicamento com ação ao nível do sistema nervoso central (cérebro emedula espinal).Campral ajuda as pessoas dependentes do álcool a manter a abstinência em relação àsbebidas alcoólicas.A dependência alcoólica é uma doença que deve ser tratada. Beber demasiado álcool podeprejudicar a sua saúde e causar problemas físicos, psicológicos e sociais. Se isto acontecerconsigo, o seu médico vai aconselhá-lo a deixar completamente de beber.Se bebe excessivamente, o seu organismo e especialmente o seu sistema nervoso,adapta-se aos efeitos do álcool. Quando pára subitamente de beber, pode sentir sintomasdesagradáveis, conhecidos pelo nome de síndrome de abstinência alcoólica. Esta situaçãopode prolongar-se para além de 2 semanas.Estes sintomas incluem tremores, distúrbios digestivos, aceleração do ritmo cardíacoassim como um aumento da pressão sanguínea, nervosismo, abatimento ou mau humor,alucinações, dor de cabeça, sonolência.Se os sintomas forem ligeiros, o médico"
Em que situações o remédio de Propycil é contraindicado?,"Não tome Propycil: Se tem alergia (hipersensibilidade) ao propiltiouracilo ou a qualquer outrocomponente de Propycil. Se teve efeitos indesejáveis graves quando utilizou medicamentos que continhampropiltiouracilo, particularmente perda de glóbulos brancos (agranulocitose) e lesãoinflamatória do fígado.Tome especial cuidado com Propycil se apresentar uma das seguintes doenças:É necessário que o seu médico tome especial atenção e realize uma avaliaçãocuidadosa se a contagem das suas células sanguíneas não estiver normal, se tiverproblemas hepáticos (aumento das enzimas do fígado) ou se tiver problemas nofluxo da bílis (colestase).Confirme com o seu médico se o seguinte se aplica ao seu caso:Alguns casos de reacções hepáticas graves, incluindo casos fatais e casos queobrigaram a transplante do fígado, foram notificados, tanto em adultos como emcrianças tratadas com propiltiouracilo.Deve informar imediatamente o seu médico se desenvolver sintomas de doençahepática, tais"
Magnesona pode causar sonolência ou afetar minha habilidade de operar veículo?,"afetar ligeiramente a sua capacidade de conduzir ou deutilizar máquinas, devido à possibilidade de ocorrência de tonturas ou sonolência, comoefeitos indesejáveis do tratamento. Se notar algum destes efeitos não conduza nem utilizemáquinas até desaparecerem os sintomas. Procure aconselhamento médico."
Quais são possíveis efeitos colaterais gastrointestinais de Magnesona?,"Como todos os medicamentos, a Magnesona pode causar efeitos secundários, emboraestes não se manifestem em todas as pessoas.Pouco frequentes (podem afetar até 1 em 100 pessoas)Fezes moles ou diarreia, dores abdominaisDesconhecida (a frequência não pode ser estimada com os dados disponíveis)Náuseas, vómitos; reações cutâneas do tipo alérgico como por exemplo vermelhidão dapele (eritema), comichão (urticária), inchaço da pele (angioedema).Foi descrito um caso de tonturas e desequilíbrio com Magnesona.Comunicação de efeitos secundáriosSe tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico, farmacêutico ou enfermeiro. Tambémpoderá comunicar efeitos secundários diretamente ao INFARMED, I.P. através doscontactos abaixo. Ao comunicar efeitos secundários, estará a ajudar a fornecer maisinformações sobre a segurança deste medicamento.INFARMED, I.P.Direção de Gestão do Risco de MedicamentosParque da Saúde de"
Salagen pode ser utilizado por pessoas com histórico de problemas cardíacos ou respiratórios?,"Não tome Salagen se tem alergia (hipersensibilidade) ao cloridrato de pilocarpina ou a qualquer outrocomponente de Salagen (indicados na secção 6) se sofre de asma não tratada se tem uma doença cardíaca ou renal não tratada se tem uma doença crónica que esteja a ser tratada com um medicamento queatue como Salagen se tem uma inflamação da íris do olho (irite).Se alguma destas situações se aplica a si, informe o seu médico antes de tomarSalagen.Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Salagen.Informe o seu médico antes de tomar Salagen se tem: problemas pulmonares (por ex.: asma, bronquite crónica e/ou doença pulmonarobstrutiva crónica) problemas cardíacos (por ex.: insuficiência cardíaca, pulso irregular) problemas de vesícula (por ex.: cálculos biliares) problemas de estômago (por ex.: úlceras) problemas hepáticos (por ex.: função hepática diminuída) problemas do sistema nervoso/mentais problemas renais (por ex.: insuficiência"
Como posso conservar o Pipermel?,"Manter fora do alcance e da vista das crianças.Embalagem fechada: Conservar a temperatura inferior a 30ºC. Conservar ao abrigo da luze da humidadePrazo de validade após abertura do frasco: Conservar a temperatura inferior a 30ºC.Conservar ao abrigo da luz e da humidade.Após a primeira abertura do frasco, o prazo de validade é de 3 meses.Não utilize Pipermel após o prazo de validade impresso no rótulo do frasco e naembalagem exterior a seguir a “Val”. O prazo de validade corresponde ao último dia domês indicado.Os medicamentos não devem ser eliminados na canalização ou no lixo doméstico.Pergunte ao seu farmacêutico como eliminar os medicamentos de que já não necessita.Estas medidas irão ajudar a proteger o ambiente."
Qual é a composição de Combantrin?,"Qual a Composição de CombantrinA substância activa é Pamoato de Pirantel. Cada ml de suspensão oral contémpamoato de pirantel equivalente a 50 mg de pirantel.Os outros componentes são: Silicato de Alumínio e Magnésio, Benzoato de Sódio,Lecitina, Essência de Caramelo, Aroma de Groselha, Polissorbato 80, Solução deSorbitol a 70%, Glicerol a 99,5%, Povidona K 25, Simeticone, Ácido Cítrico mono-hidratado, Água purificada.Qual o aspecto de Combantrin e o conteúdo da embalagemEmbalagens com 1 frasco de vidro âmbar de 15 ml de suspensão oral e uma colher-medida de 5 ml.A suspensão oral apresenta um sabor a caramelo e groselha que lhe é conferidopelas essências de caramelo e groselha que entram na composição do medicamento.Não contém sacarose nem lactose."
Para que serve Benadon?,"Benadon
Definition: Benadon contém vitamina B6 (cloridrato de piridoxina), a qual pertence aos grupos dasvitaminas hidrossolúveis.Este medicamento está indicado para prevenir carências de vitamina B6."
Como devo tomar Feldene?,"Qual a composição de Feldene A substância ativa é o piroxicam. Cada grama de gel contém 5 mg de piroxicam. Os outros componentes são carbómero 980, propilenoglicol, etanol, álcool benzílico,diisopropanolamina, hidroxietilcelulose e água purificada.Qual o aspeto de Feldene e conteúdo da embalagemBisnagas contendo 60 g de gel."
Alipza pode ser aplicado a pessoas com histórico de doenças hepáticas?,"de fígado. As “estatinas” podem afetar o fígadonum pequeno número de pessoas. Normalmente o seu médico efetuará uma análiseao sangue (provas da função hepática) antes e durante o tratamento com Alipza.se já teve problemas da glândula tiróide.se tem, ou um dos seus familiares tem antecedentes de problemas musculares.se já teve história anterior de problemas musculares ao tomar outros medicamentospara baixar o colesterol (por exemplo, estatinas ou fibratos).se beber uma quantidade excessiva de bebidas alcoólicas.se estiver a tomar ou tiver tomado nos últimos 7 dias um medicamento chamadoácido fusídico (um medicamento para infeções bacterianas) por via oral ou porinjeção. A associação de ácido fusídico e Pitavastatina pode levar a problemasmusculares graves (rabdomiólise).Se qualquer um dos acima mencionados se aplicar a si (ou se não tiver a certeza),fale com o seu médico ou farmacêutico antes de tomar Alipza. Informe igualmente oseu médico ou farmacêutico se sofre de fraqueza muscular"
Quais são os efeitos secundários de Selexid?,"Como todos os medicamentos, este medicamento pode causar efeitos secundários,embora estes não se manifestem em todas as pessoas.Os seguintes efeitos adversos podem ocorrer em casos raros (podem afetar entre 1 a10 pessoas em cada 10.000 pessoas)Sonolência, erupção cutânea, náusea e diarreia.Estes efeitos adversos devem desaparecer após a redução da dose oudescontinuação do tratamento.Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico ou farmacêutico."
Como devo tomar Neupro?,"sedativos como as benzodiazepinas, medicamentos para o tratamento de        perturbações mentais ou depressão       tomar medicamentos que diminuam a pressão arterial. Neupro pode diminuir a pressão arterial        quando se levantar - este efeito pode piorar quando estiver a tomar um medicamento para        reduzir a pressão arterial.O seu médico irá informá-lo se é seguro continuar a tomar estes medicamentos durante o uso deNeupro.Neupro com alimentos, bebidas e álcoolComo a rotigotina entra na circulação sanguínea através da pele, os alimentos e as bebidas não afetama maneira como este medicamento é absorvido pelo corpo. Deve conversar com o seu médico sobre seé seguro beber álcool durante o tratamento com Neupro.Gravidez e amamentaçãoNão utilize Neupro se está grávida. Isto porque se desconhecem os efeitos da rotigotina na gravidez eno feto.Não amamente durante o tratamento com Neupro. Isto porque a rotigotina pode passar para o leitematerno e afetar o bebé. É também provável que"
Quais são os componentes presentes na composição de Serevent?,"Qual a composição de Serevent A substância ativa é o xinafoato de salmeterol. Cada atuação (dose) contém 25 microgramas de salmeterol(sob a forma de xinafoato), equivalente a 21 microgramas de salmeterol libertados do actuador (doselibertada). O outro componente é norflurano (HFA 134 a).Qual o aspeto de Serevent e conteúdo da embalagemSerevent é uma suspensão pressurizada para inalação. O recipiente metálico pressurizado contém umasuspensão branca a esbranquiçada para inalação.A suspensão é acondicionada em recipiente pressurizado de 8 ml de liga de alumínio, laqueadointernamente e selado com válvula doseadora. O recipiente é incorporado num actuador de plástico comaplicador bucal atomizador e tampa protetora de poeiras. Cada embalagem contém 120 doses.Cada atuação contém 25 microgramas da substância ativa salmeterol."
Quais são os efeitos colaterais ao tomar Ursofalk?,"de colesterol tais como o clofibrato. Estesmedicamentos podem estimular a formação de cálculos biliares e desta forma contrariar oefeito do Ursofalk na dissolução dos mesmos.Informe o seu médico ou farmacêutico se estiver a tomar, ou tiver tomado recentemente ouse vier a tomar quaisquer outros medicamentos, mesmo que se trate de medicamentosobtidos sem receita médica. O tratamento com Ursofalk poderá ainda assim ser indicado.O seu médico saberá o que é mais adequado para si.Gravidez, amamentação e fertilidadeSe está grávida ou a amamentar, se pensa estar grávida ou planeia engravidar, consulte oseu médico ou farmacêutico antes de tomar este medicamento.FertilidadeEstudos em animais não revelaram influência deste medicamento na fertilidade. Nãoexistem dados relativos ao efeito na fertilidade humana.GravidezOs dados relativos à utilização de ácido ursodesoxicólico durante a gravidez são escassosou nulos. Estudos em animais revelaram que o crescimento e desenvolvimento da criapodem ser"
Em que situações o remédio de Campral é contraindicado?,"durante a gravidez após avaliação cuidadosa da relaçãobenefício/risco pelo médico.Campral não deverá ser administrado a mulheres a amamentar.Condução de veículos e utilização de máquinasCampral não provoca sonolência, não tendo pois qualquer interferência sobre acapacidade de condução e de utilização de máquinas.Campral contém sódioEste medicamento contém menos de 1 mmol (23 mg) de sódio por comprimido, ou seja épraticamente ""isento de sódio""."
Do que Neotigason é composto?,"Qual a composição de NeotigasonNeotigason 10 mg CápsulasA substância ativa é a acitretina. Cada cápsula contém 10 mg de acitretina.Os outros componentes são:Conteúdo da cápsula: celulose microcristalina, maltodextrina, ascorbato de sódio.Cápsula:Cabeça: gelatina, óxido de ferro negro (E172), óxido de ferro amarelo (E172), óxidode ferro vermelho (E172), dióxido de titânio (E171);Corpo: gelatina, dióxido de titânio (E171)Tinta de impressão: Shellac, álcool isopropílico, butanol, propilenoglicol (E1520),hidróxido de amónio, óxido de ferro negro (E172).Neotigason 25 mg CápsulasA substância ativa é a acitretina. Cada cápsula contém 25 mg de acitretina.Os outros componentes são:Conteúdo da cápsula: celulose microcristalina, maltodextrina, ascorbato de sódio,gelatina.Cápsula:Cabeça: gelatina, óxido de ferro negro (E172), óxido de ferro amarelo (E172), óxidode ferro vermelho (E172), dióxido de titânio (E171);Corpo: gelatina, dióxido de titânio (E171) óxido de ferro amarelo"
Caso eu tenha histórico de doenças cardíacas posso tomar Norterol?,"Não tome Norterol se tem alergia (hipersensibilidade) à nortriptilina (substância activa) ou a qualqueroutro componente de Norterol; se está em fase de recuperação de um enfarte do miocárdio; se sofre de defeitos na condução cardíaca; se manifesta intoxicação opiácea, barbitúrica e alcoólica aguda; se está a tomar ou tomou há menos de 2 semanas medicamentos do tipo inibidores damonoaminoxidase (IMAO) - (Ver ""Ao tomar Norterol com outros medicamentos”).Tome especial cuidado com Norterol Utilização em crianças e adolescentes com idade inferior a 18 anos:Nortriptilina não deve ser administrada para o tratamento da depressão em crianças eadolescentes com idade inferior a 18 anos. Não foi demonstrada eficácia dosantidepressivos tricíclicos em estudos com doentes deste grupo etário com depressão. No caso de ser diabético, doente do foro cardíaco, sofrer de hipertiroidismo (alteraçãoda tiróide), ter tido alguma crise epiléptica, ou sofrer de tensão ocular aumentada,"
Para que serve Octiset?,"Octiset
Definition: A aplicação continuada de Octiset elimina os germes tais como bactérias e fungospor um período limitado de tempo e atua como tratamento de preparação damembrana mucosa e pele circundante antes de uma cirurgia na região genital eórgãos de excreção, incluindo a inserção de um cateter, assim como para utilizaçãocontinuada, eliminação limitada de germes tais como bactérias e fungos em feridas epromoção da cicatrização de feridas.Octiset está também indicado como antisséptico na cavidade oral, assim como naterapêutica de suporte em micoses interdigitais e tratamento antisséptico adjuvantede feridas.Se não se sentir melhor ou se piorar após 14 dias, tem de consultar um médico."
Quais são os efeitos colaterais de Griponal?,"Como todos os medicamentos, este medicamento pode causar efeitos indesejáveis,embora estes não se manifestem em todas as pessoas.Como a maioria dos efeitos indesejáveis decorrem da comunicação espontânea durante acomercialização, não é possível fazer um cálculo preciso da frequência.Os efeitos indesejáveis seguintes foram sentidos por alguns dos doentes que tomaramGriponal comprimidos efervescentes:Em casos de doses muito elevadas, de cerca de 10 a 15 g em adultos, podem surgirefeitos hepáticos graves (hepatotoxicidade que leva a necrose hepática);Em pessoas sensíveis, pode verificar-se sonolência, embora de intensidade ligeira;Ocasionalmente, pode verificar-se secura da boca, visão turva, prisão de ventre edificuldade em urinar, assim como dores de cabeça, excitabilidade, fadiga, nervosismo etonturas;Podem ocorrer reações que incluem perturbações gastrointestinais como náuseas evómitos;Foram comunicados casos muito raros de reações cutâneas graves;Em casos raros, podem"
Quais são os possíveis efeitos secundários ao tomar Otoceril?,"Como os demais medicamentos, Otoceril pode causar efeitos secundários em algumas pessoas.Otoceril é geralmente bem tolerado. Contudo podem ocorrer muito raramente irritação localdevido ao diclorobenzeno ou reacções de sensibilização devido à benzocaína.Se algum dos efeitos secundários se agravar ou se detectar quaisquer efeitos secundários nãomencionados neste folheto, informe o seu médico ou farmacêutico.
Storage: Manter fora do alcance e da vista das crianças.Conservar Otoceril a temperatura inferior 25 ºC.Não utilize Otoceril após o prazo de validade impresso no rótulo do frasco e na embalagemexterior a seguir a “Validade:”. O prazo de validade corresponde ao último dia do mês indicado.Não utilize Otoceril se verificar sinais visíveis de deterioração.Os medicamentos não devem ser eliminados na canalização ou no lixo doméstico. Pergunte aoseu farmacêutico como eliminar os medicamentos de que já não necessita. Estas medidas irãoajudar a proteger o ambiente."
O que pode acontecer se eu exceder a dose de Cyteal,"Como todos os medicamentos, este medicamento pode causar efeitos secundários,embora estes não se manifestem em todas as pessoas.As seguintes reações adversas podem ocorrer com uma frequência desconhecida(não pode ser calculada a partir dos dados disponíveis): Erupção cutânea, dificuldades em respirar (reação alérgica geral) que pode sergrave e fatal (reação anafilática). No caso de sintomas graves, deve contactar o seumédico assim que possível e interromper o tratamento. Consulte o seu médico oufarmacêutico antes de utilizar Cyteal novamente. Erupção cutânea localizada ou irritação da pele (dermatite de contacto).Em caso de contacto com o produto é possível que ocorra eczema alérgico,particularmente em pele lesada, membranas mucosas ou ulceração dos membrosinferiores.No caso de sintomas graves, deve interromper o tratamento e consultar o seumédico ou farmacêutico antes de utilizar Cyteal novamente. Este medicamento contém hexamidina e dois excipientes presentes no"
Como posso tomar o remédio de Modulanzime?,"o seu médico ou farmacêutico antes de tomar qualquer medicamento.Como para todos os medicamentos, Modulanzime só deve ser administrado a grávidasquando estritamente necessário.Condução de veículos e utilização de máquinasNão aplicávelInformações importantes sobre alguns componentes de Modulanzine.Este medicamento contém lactose. Se foi informado pelo seu médico que temintolerância a alguns açúcares, contacte-o antes de tomar este medicamento."
