Question,Similarity Search
Posso tomar Clensia na época de gravidez?,"tomar umdestes medicamentos, o seu médico dar-lhe-á um medicamento diferente para úlceras de estômago,azia ou refluxo de ácido, ou aconselhá-lo-á sobre como e quando tomar esse medicamento.Gravidez e contraceçãoDesconhecem-se quais são os efeitos de Epclusa durante a gravidez. Se está grávida, se pensa estargrávida ou planeia engravidar, consulte o seu médico antes de tomar este medicamento.Epclusa é por vezes utilizado juntamente com ribavirina. A ribavirina pode prejudicar o feto. Porconseguinte, é muito importante que você (ou a sua parceira) não engravide durante este tratamento oudurante um período de tempo após terminar o tratamento. Deve ler com muita atenção a secção“Gravidez” do folheto informativo da ribavirina. Aconselhe-se junto do seu médico sobre um métodocontracetivo eficaz adequado para si e para o seu parceiro ou parceira.AmamentaçãoNão amamente durante o tratamento com Epclusa. Não se sabe se o sofosbuvir ou velpatasvir, asduas substâncias ativas de Epclusa, passam"
Riopan é indicado a partir de que idade?,"Não tome Riopan: se tem alergia à substância ativa ou a qualquer outro componente deste medicamento(indicados na secção 6). se tem problemas de rins (insuficiência renal com depuração da creatinina < 30ml/min). Em caso de tratamento prolongado com doses elevadas, Riopan só pode serusado com monitorização regular dos níveis séricos de magnésio e alumínio. Os níveisséricos de alumínio não devem ser superiores a 40 ng/ml.Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Riopan.Riopan pode ser administrado a diabéticos e a hipertensos porque não contém açúcar e épobre em sódio.CriançasRiopan não deve ser utilizado em crianças com idade inferior a 12 anos, uma vez quenão existem dados suficientes sobre o tratamento neste grupo etário.IdososA população idosa é vulnerável ao alumínio, constituinte do Riopan. Recomenda-se aprecaução na utilização: dentro das doses terapêuticas mínimas e em tratamentos curtos.Outros medicamentos e RiopanInforme o"
O que faz o remédio de Lacteol?,Lacteol
Em que situações não devo tomar Lorazepam Pharmakern?,"de Lorazepam Pharmakern do que os outros adultos, pelo quedeverão tomar uma dose menor.Doentes com insuficiência respiratóriaRecomenda-se igualmente a utilização de doses menores em doentes com insuficiênciarespiratória crónica pelo risco associado de depressão respiratória, como por exemplo emdoentes com doença pulmonar obstrutiva crónica (DPOC) ou síndrome da apneia dosono.Outros medicamentos e Lorazepam PharmakernInforme o seu médico ou farmacêutico se estiver a tomar, tiver tomado recentemente, ouse vier a tomar outros medicamentos.Tal como ocorre com outras benzodiazepinas, Lorazepam Pharmakern pode interferircom alguns medicamentos, em especial com os depressores do sistema nervoso central.Pode produzir-se uma potenciação do efeito depressor sobre o sistema nervoso central,desenvolvendo mais sonolência do que deveria, ao administrar Lorazepam Pharmakernjuntamente com: Medicamentos utilizados para o tratamento de doenças mentais (antipsicóticos,hipnóticos, ansiolíticos/sedantes,"
Quais são os efeitos colaterais do Rytmonorm?,"pode levar a colapso com perigode vida). Os indivíduos que manipulem rotineiramente as formulações em pó estãomais predispostos a desenvolver estas reações (ver secção 2).Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico ou farmacêutico."
Quais são os efeitos negativos ao tomar Campral?,"podem ser mais propensos a alguns dos efeitos mencionadosacima.Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico, farmacêutico ou enfermeiro."
Em que situações o remédio de Propycil é contraindicado?,"Não tome Dornite:−     se tem alergia à doxilamina, outros anti-histamínicos ou a qualquer outro      componente deste medicamento (indicados na secção 6),−     em casos de ataques de asma agudos,−     se tem glaucoma de ângulo fechado,−     se tem tumor nas suprarenais (feocromocitoma),−     se tem aumento da próstata (hipertrofia prostática) com retenção urinária,−      se tiver uma intoxicação aguda causada por álcool, medicamentos para dormir ou       para a dor ou medicamentos psicotrópicos (neurolépticos, tranquilizantes,       antidepressivos, lítio),−      se tem epilepsia,−      se está a tomar medicamentos conhecidos como inibidores da monoamina oxidase       (IMAOs) (medicamentos utilizados para tratar a depressão, Doença de Parkinson       ou outras condições, tais como, moclobemida, fenelzina e tranilcipromina,       isocarboxazida, linezolida, azul de metileno, procarbazina, rasagilina e selegilina).Advertências e precauçõesFale com o seu médico ou"
Magnesona pode causar sonolência ou afetar minha habilidade de operar veículo?,"e naamamentação não é conhecida.Condução de veículos e utilização de máquinasA Claritromicina Zentiva pode causar-lhe tonturas ou vertigens. Se o afetar destaforma, não conduza nem opere máquinas ou realize qualquer tarefa em quenecessite de estar alerta."
Quais são possíveis efeitos colaterais gastrointestinais de Magnesona?,"para evitar fenómenosde competição ao nível da absorção digestiva. No caso de tratamento simultâneo comcálcio, recomenda-se intervalar as ingestões em pelo menos 3 horas.Magnesona pode também diminuir a absorção das tetraciclinas (antibióticos),bisfosfonatos (utilizados no tratamento da osteoporose), quinolonas (antibióticos),azitromicina (antibiótico) ou preparações de fluoreto de sódio (utilizadas na prevenção decáries dentárias). Espaçar a administração com Magnesona em 2 a 3 horas.Magnesona pode ainda interagir com os seguintes medicamentos: vitamina D,bloqueadores dos canais de cálcio (utilizados no tratamento da hipertensão arterial),depressores do sistema nervoso central (utilizados no alívio dos sintomas da ansiedade),eltrombopag (utilizado para aumentar o número de plaquetas no sangue), micofenolato(utilizado para prevenir a rejeição de órgãos transplantados), agentes de bloqueioneuromuscular (relaxantes musculares) e suplementos de fosfatos (utilizados paracorreção dos"
Salagen pode ser utilizado por pessoas com histórico de problemas cardíacos ou respiratórios?,"cardiovascular instável, após hemorragia aguda;-Se sofre de problemas respiratórios como enfisema (destruição do tecido pulmonar) ebronquite crónica (inflamação dos brônquios).-Se é asmático e já sentiu efeitos secundáriosa nível respiratório após ter tomadomedicamentos para a asma.Tome especial cuidado com NausefeNausefe deve ser utilizado com precaução se sofre de:-Doença cardiovascular (doença coronária, arritmias cardíacas e hipertensão);-Doença do fígado ou dos rins;-Hipertiroidismo (doença da tiróide);-Hérnia do hiato (fraqueza do diafragma) associada com esofagite (inflamação doesófago);-Asma ou doença pulmonar obstrutiva crónica;-Neuropatia do sistema nervoso autónomo (o responsável pelo controlo das funçõesautomáticas do organismo: batimento do coração, movimentos intestinais, controlo dabexiga, etc.)Nausefe não deve ser utilizado em crianças com idade inferior a 12 anos e deve utilizar-se com precaução nos idosos;Ao tomar Nausefe com outros medicamentosInforme o seu médico"
Como posso conservar o Pipermel?,"Qual a composição de PipermelA substância activa é a piperazina (na forma hidratada). Cada grama de Pipermel xarope,contém 100 mg de piperazina, hidratada.Os outros componentes são: Ácido cítrico anidro, sacarose, mel, para-hidroxibenzoato demetilo (metilparabeno), sacarina sódica, etanol, aroma de ananás, aroma de maracujá eágua purificada.Qual o aspecto de Pipermel e conteúdo da embalagemPipermel apresenta-se em embalagens de 60 a 120 g de xarope, em frascos de vidro TipoIII de cor âmbar, com tampa inviolável.É possível que não sejam comercializadas todas as apresentações."
Qual é a composição de Combantrin?,"Qual a Composição de CombantrinA substância activa é Pamoato de Pirantel. Cada ml de suspensão oral contémpamoato de pirantel equivalente a 50 mg de pirantel.Os outros componentes são: Silicato de Alumínio e Magnésio, Benzoato de Sódio,Lecitina, Essência de Caramelo, Aroma de Groselha, Polissorbato 80, Solução deSorbitol a 70%, Glicerol a 99,5%, Povidona K 25, Simeticone, Ácido Cítrico mono-hidratado, Água purificada.Qual o aspecto de Combantrin e o conteúdo da embalagemEmbalagens com 1 frasco de vidro âmbar de 15 ml de suspensão oral e uma colher-medida de 5 ml.A suspensão oral apresenta um sabor a caramelo e groselha que lhe é conferidopelas essências de caramelo e groselha que entram na composição do medicamento.Não contém sacarose nem lactose."
Para que serve Benadon?,"comunicarefeitos secundários, estará a ajudar a fornecer mais informações sobre a segurança deste medicamento.                                                  o                                                nã"
Como devo tomar Feldene?,"devido à sobrecarga de ferro.     se verificar uma diminuição marcada do volume da sua urina (sinal de problema nos rins).     se desenvolver uma erupção cutânea grave, ou dificuldade a respirar e tonturas ou inchaço,      principalmente na face e na garganta (sinal de reação alérgica grave, ver também secção 4      «Efeitos indesejáveis possíveis»).     se sentir uma combinação de quaisquer dos seguintes sintomas: erupção cutânea, vermelhidão      da pele, bolhas nos lábios, olhos ou boca, descamação da pele, febre alta, sintomas tipo gripe,      aumento dos gânglios linfáticos (sinal de reação cutânea grave, ver também secção 4 «Efeitos      indesejáveis possíveis»).     se sentir uma combinação de sonolência, dor abdominal na parte superior direita,      amarelecimento, ou amarelecimento aumentado da sua pele ou olhos, e urina escura (sinal de      problemas no fígado).     se sentir dificuldade em pensar, em lembrar-se de informação ou resolver problemas, estiver      menos alerta"
Alipza pode ser aplicado a pessoas com histórico de doenças hepáticas?,"2, 4, 10, 12, 14, 16, 20, 24 ou30 comprimidos com folheto informativo do doente. Disponível também em embalagenshospitalares de 100 e 500 comprimidos.É possível que não sejam comercializadas todas as apresentações."
Quais são os efeitos secundários de Selexid?,"efeitos secundáriosSe tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários não indicados nestefolheto, fale com o seu médico ou farmacêutico. Também poderá comunicar efeitos secundáriosdiretamente através do sistema nacional de notificação mencionado no Apêndice V. Ao comunicarefeitos secundários, estará a ajudar a fornecer mais informações sobre a segurança destemedicamento."
Como devo tomar Neupro?,"éseguro para si fazê-lo.O que fazer se for visto por outro médico ou tiver que ir ao hospitalSe for visto por outro médico ou tiver que ir ao hospital por qualquer razão, informesobre os medicamentos que está a tomar.Não tome qualquer outro medicamento sem o seu médico saber que está a tomarEndoxan."
Quais são os componentes presentes na composição de Serevent?,"sangue podem mostrar níveis séricos de potássio e de sódio diminuídos.Se algum destes efeitos secundários lhe causar problemas, fale com o seu médico.Efeitos secundários notificados desde o início da comercialização de CoAprovelDesde a comercialização de CoAprovel foram notificados alguns efeitos indesejáveis. Os efeitosindesejáveis em que a frequência não é conhecida são: dor de cabeça, zumbidos, tosse, alteração dopaladar, indigestão, dor nas articulações e nos músculos, alteração da função hepática e compromissodos rins, níveis séricos de potássio aumentados e reações alérgicas, tais como erupção cutânea,urticária, inchaço da face, lábios, boca, língua ou garganta. Foram também notificados casos poucofrequentes de icterícia (amarelecimento da pele e/ou da zona branca dos olhos).Tal como acontece para qualquer combinação de duas substâncias ativas, não podem ser excluídos osefeitos secundários associados a cada um dos componentes.Efeitos secundários associados apenas com o"
Quais são os efeitos colaterais ao tomar Ursofalk?,"pode levar a colapso com perigode vida). Os indivíduos que manipulem rotineiramente as formulações em pó estãomais predispostos a desenvolver estas reações (ver secção 2).Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico ou farmacêutico."
Em que situações o remédio de Campral é contraindicado?,"Não tome Campral se tem alergia ao acamprosato de cálcio ou a qualquer outro componente destemedicamento (indicados na secção 6); se está a amamentar; se sofre de problemas renais graves.Só os adultos devem tomar Campral. Este medicamento não é aconselhado a crianças eidosos.Advertências e precauçõesFale com o seu médico, farmacêutico ou enfermeiro antes de tomar Campral.Se sofre de problemas hepáticos graves.Campral não é usado para o tratamento dos sintomas agudos da fase de retirada doálcool.Na ausência de dados clínicos disponíveis, Campral não deve ser recomendado a doentescom idade inferior a 18 anos e superior a 65 anos.Devido à reconhecida e complexa inter-relação entre a dependência do álcool, depressão eideação suicida, recomenda-se que os doentes dependentes do álcool, incluindo os queestão a ser tratados com acamprosato, sejam acompanhados de perto quanto aosrespetivos sintomas.Outros medicamentos e CampralInforme o seu médico ou farmacêutico se estiver a"
Do que Neotigason é composto?,"Não tome Neotigason se está grávida ou a amamentar se existir alguma possibilidade de engravidar, deve seguir as precauções em“Gravidez e programa de prevenção”, ver secção em “Advertências e precauções”. se tem alergia (hipersensibilidade) à acitretina ou a qualquer outro componente deNeotigason (indicados na secção 6 “Conteúdo da embalagem e outras informações”)ou se estiver a tomar outro medicamento retinóico, que incluem isotretinoína etazarotene;. se tem graves problemas de fígado; se tem graves problemas nos rins; se tem níveis muito elevados de gordura (lípidos) no seu sangue; se está a tomar medicamentos denominados de tetraciclinas (para tratar infeções)ou metotrexato (para problemas de pele, artrite ou cancro), ver secção “Outrosmedicamentos e Neotigason”; se está a tomar vitamina A, ver secção “Outros medicamentos e Neotigason”;Se pensa que alguma das situações se aplica a si, fale com o seu médico antes detomar Neotigason.Programa de prevenção da"
Caso eu tenha histórico de doenças cardíacas posso tomar Norterol?,"ou terceiro grau sem pacemaker, bloqueio sino-auricular). Se sofre de uma frequência cardíaca baixa com sintomas. Se sofre de doença do nódulo sinusal. Se tem asma brônquica grave. Se sofre de perturbações graves da circulação sanguínea periférica (formas graves dadoença arterial oclusiva periférica e síndrome de Raynaud). Se tem uma doença não tratada das glândulas suprarrenais (feocromocitoma). Se tem excesso de acidez no sangue (acidose metabólica). Se tem insuficiência renal grave (depuração da creatinina <30 ml/min). Se tem insuficiência hepática grave. Se tem hipocaliemia (concentração baixa de potássio no sangue) refratária ou se temhiponatremia (concentração baixa de sódio no sangue) grave. Se tem hipercalcemia (concentração alta de cálcio no sangue). Se tem gota (depósitos de sais de ácido úrico nas articulações).Advertências e precauçõesFale com o seu médico ou farmacêutico antes de tomar Concor 10 Plus.Informe o seu médico se alguma das seguintes situações se aplicar a si:"
Para que serve Octiset?,"de efeitos secundários.Se Octiset for utilizado em contacto com preparações tradicionais de lavagem elimpeza, a substância ativa dicloridrato de octenidina pode tornar-se ineficaz.Aplicar com cuidado em recém-nascidos, principalmente nos prematuros. Octisetpode causar graves lesões cutâneas. Remover o excesso de produto e garantir que asolução não permanece em contacto com a pele durante mais tempo do que énecessário (incluindo materiais com gotas de solução em contacto direto com odoente).Deve evitar-se a aplicação de Octiset nos olhos. Em caso de contacto com os olhos,lavar imediatamente com muita água.Crianças e adolescentesEstudos com Octiset realizados em lactentes e crianças com idade inferior a 12 anosconfirmaram a sua elevada eficácia, tolerabilidade e segurança. Em virtude dosdados fornecidos relativamente a crianças e adultos, o Octiset pode também serrecomendado para utilização em adolescentes.Outros medicamentos e OctisetInforme o seu médico ou farmacêutico se estiver a"
Quais são os efeitos colaterais de Griponal?,"pode levar a colapso com perigode vida). Os indivíduos que manipulem rotineiramente as formulações em pó estãomais predispostos a desenvolver estas reações (ver secção 2).Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico ou farmacêutico."
Quais são os possíveis efeitos secundários ao tomar Otoceril?,"podem ser mais propensos a alguns dos efeitos mencionadosacima.Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico, farmacêutico ou enfermeiro."
O que pode acontecer se eu exceder a dose de Cyteal,"Não utilize Cyteal: Se tem alergia à cloro-hexidina, hexamidina, clorocresol ou a qualquer outrocomponente deste medicamento (indicados na secção 6). Em caso contato com os olhos e ouvidos. Em caso de contato acidental da soluçãocom os olhos, lavar imediata e abundantemente com água. No canal auditivo externo se tem o tímpano perfurado, e em geral, no tecidonervoso ou meninges. Para desinfetar acessórios médicos e cirúrgicos. Para desinfeção de pele saudável (exemplo: antes de recolha de amostras oucirurgias).Advertências e precauçõesFale com o seu médico ou farmacêutico antes de utilizar Cyteal. Após a utilização deste produto, lave cuidadosamente com água abundante. Não utilize este medicamento, sem a opinião do médico, numa grande superfície depele, sob um penso oclusivo, em pele irritada (especialmente em pele queimada),membranas mucosas, na pele de bebés prematuros ou recém-nascidos devido aorisco de passagem para a circulação sanguínea. Foi notificada erupção"
Como posso tomar o remédio de Modulanzime?,"Não tome Modulanzime se tem alergia (hipersensibilidade) a bromoprida, simeticone, pepsina A, amilase elipase ou a qualquer outro componente de Modulanzime. se a estimulação da motricidade gastro-intestinal apresentar perigo. se ocorrer hemorragia gastro-intestinal, obstrução mecânica ou perfuração digestiva. se tiver doença de Parkinson.Tome especial cuidado com ModulanzimeNão aplicável.Ao tomar Modulanzime com outros medicamentosInforme o seu médico ou farmacêutico se estiver a tomar ou tiver tomado recentementeoutros medicamentos, incluindo medicamentos obtidos sem receita médica.Modulanzime não apresenta incompatibilidade alimentar ou medicamentosa conhecida,exceto a associação a atropínicos que anulam o efeito sobre a motilidade digestiva.Gravidez e aleitamentoConsulte o seu médico ou farmacêutico antes de tomar qualquer medicamento.Como para todos os medicamentos, Modulanzime só deve ser administrado a grávidasquando estritamente necessário.Condução de veículos"
Qual é a contraindicação ao tomar Maxilase?,"Não tome Maxilase Se tem alergia (hipersensibilidade) à substância activa, alfa-amilase, ou a qualquer outrocomponente de Maxilase.Tome especial cuidado com Maxilase Se é um doente com problemas hereditários raros de intolerância à frutose, malabsorçãoglucose-galactose ou insuficiência sucrase-isomaltase não devem tomar este medicamento. Quando da persistência ou aparecimento de novos sintomas (dores de garganta graves, dores decabeça, náuseas, vómitos) ou em caso de febre associada, deve reavaliar-se a estratégiaterapêutica.Este medicamento não deve ser utilizado durante longos períodos de tempo sem conselho médico.Tomar Maxilase com outros medicamentosNão há conhecimento de relatos de interacções entre a alfa amilase e outros produtos medicinais.Informe o seu médico ou farmacêutico se estiver a tomar ou tiver tomado recentemente outrosmedicamentos, incluindo medicamentos obtidos sem receita médica.Tomar Maxilase com alimentos ou bebidasAconselha-se a toma de"
Para que serve Aldactazine?,"Não tome Aldactazine: se tem alergia à espironolactona, à altizida ou a qualquer outro componente destemedicamento (indicados na secção 6); se tem alergia a qualquer outro grupo de diuréticos (diuréticos tiazídicos) oumedicamentos utilizados no tratamento de infeções por bactérias (antibióticos dogrupo das sulfonamidas); se tem a função renal diminuída ou se não consegue urinar; se tem doença de Addison (deficiência hormonal caracterizada por fraquezaextrema, perda de peso e baixa pressão arterial); se tem os valores de potássio ou de cálcio no sangue elevados.Advertências e precauçõesFale com seu médico ou farmacêutico antes de tomar Aldactazine: se toma em simultâneo Aldactazine com certos medicamentos como diuréticospoupadores de potássio, medicamentos para controlar a pressão arterial [como osinibidores da enzima de conversão da angiotensina (IECAs)], trimetoprim outrimetoprim-sulfametoxazol, suplementos de potássio, substitutos do sal com grandequantidade de"
Quais são os efeitos negativos ao tomar Largactil?,"tratamento;Se é idoso: pode sofrer estes efeitos indesejáveis com maior frequência (ver secção 4). Sealgum destes efeitos ocorrer, consulte imediatamente o seu médico;Se é mulher e tem problemas de fertilidade (Dexcetoprofeno Elerdanite pode prejudicar afertilidade, pelo que não deve tomá-lo se está a planear ficar grávida ou a fazer testes defertilidade);Se sofrer de um distúrbio na formação do sangue e células do sangue;;Se tem lúpus eritematoso sistémico ou doença mista do tecido conjuntivo (alterações dosistema imunitário que afetam o tecido conjuntivo);Se sofreu no passado de doença inflamatória crónica do intestino (colite ulcerosa, doençade Crohn);Se sofre ou já sofreu de outras perturbações do estômago ou intestinais;Se está a tomar outros medicamentos que aumentem o risco de úlcera péptica ouhemorragia, como por exemplo esteroides orais, alguns antidepressivos (os do tipo ISRS,isto é, inibidores seletivos da recaptação da serotonina), os agentes que inibem acoagulação"
Quando não devo tomar Victan?,"para outra condição ou numa dosediferente da que está escrita neste folheto informativo. Siga sempre as instruções doseu médico sobre como tomar o medicamento.Se não se sentir melhor ou se piorar após 14 dias, tem de consultar um médico."
Quais são as precauções que devo tomar ao utilizar Aerinaze?,"branca, com a marcação “D12” na camada azul.Os comprimidos de Aerinaze são fornecidos em embalagens de 2, 4, 7, 10, 14 ou 20 comprimidos emblisters constituídos por películas laminadas com folha de cobertura.É possível que não sejam comercializadas todas as apresentações."
Como posso guardar Acabel?,"comunicarefeitos secundários, estará a ajudar a fornecer mais informações sobre a segurança deste medicamento.                                                  o                                                nã"
Quais são os efeitos colaterais de Cozaar?,"pode levar a colapso com perigode vida). Os indivíduos que manipulem rotineiramente as formulações em pó estãomais predispostos a desenvolver estas reações (ver secção 2).Se tiver quaisquer efeitos secundários, incluindo possíveis efeitos secundários nãoindicados neste folheto, fale com o seu médico ou farmacêutico."
Como devo tomar Blocan?,Blocan
