Question,Answer
Como posso guardar Clincina?,"1. Guarda-se na temperatura ambiente;
            2. Não deve ser exposta à luz solar;
            3. A temperatura máxima recomendada para armazenamento é de 40 °C;
            4. O tempo de conservação é de até dois anos após data de fabricação;
            5. Deve ser protegido contra chama.
        ''')
    def test_clincina(self):
        self.assertEqual('Guarda-se na temperatura ambiente;\nNão deve ser exposta à luz solar;\nA temperatura máxima recomendada para armazenamento é de 40 °C;\nO tempo de conservação é de até dois anos após data de fabricação;\nDeve ser protegido contra chama.\n', self.bot.ask(""Como posso guardar Clincina?""))"
Posso tomar Clensia na época de gravidez?,"1) Não há estudos clínicos específicos realizados em mulheres grávidas.2) O uso de Clensia durante a gestação só é aconselhado caso haja justificativa clínica.3) A administração parenteral de Clensia não tem sido investigada em animais de experimentacao.4) No entanto, os resultados dos ensaios clínicos mostram que Clensia não atinge o plasma materno.5) Assim, a administração oral de Clensia não representaria um risco significativo para a criançapós-natal.6) Por outro lado, a administração intravenosa de Clensia poderia causar hiponatriemia nos recém-nascidos.7) Portanto, a administração parenteral de Clensia só é recomendada caso haja justificativa clínica.8) Os pacientes devem ser monitorizados regularmente para verificar a presença de eventos adversos graves.9) Se houver alguma preocupação quanto à segurança do medicamento, o seu uso deve ser interrompido imediatamente.10) Em casos raros, foram relatadas reações anafilácticas após a administração de Clensia.11) Estas reações são mais frequentes nas pessoas sensibilizadas ao sulfato de magnésio (por exemplo, por exposição ocupacional prolongada), mas também podem ocorrer sem antecedentes conhecidos.12) As reações anafilácticas podem incluir sintomas respiratórios, cardiovasculares e/ou cutâneos.13) Para evitar essas reações, o uso de Clensia deve ser descontinuado imediatamente.14) Outros possíveis efeitos secundários adversecionados pelo Clensia incluem dor muscular, náuseas, diarréia, insónias, vertigem, confusão mental, convulsões, hiperpotassestia, hipocalcemia, hipomagnesemia, hipofosfatemia, acidosis metabólica, acidose tubulointerst"
Riopan é indicado a partir de que idade?,"12 Anos
        ''')
    }
}"
O que faz o remédio de Lacteol?,"
        ''')
    def test_lacteol(self):
        self.assertEqual(self.bot.get_answer('O que faz o remédio de Lacteol'), 'Qual a composição de Lacteol A substância ativa de Lacteol é liofilizado de Lactobacillus ""LB"" (Lactobacillus fermentum e Lactobacillus delbriecki), cada cápsula contém 170 mg de liofilizado. Os outros componentes são: Composição da cápsula: dióxido de titânio (E171), água e gelatina. Excipiente: talco, ácido silícico, lactose anidra e estearato de magnésio Composição do meio de cultura: lactose mono-hidratada, extrato de levedura, peptona de caseína, acetato de sódio tri-hidratado, fosfato dipotássico anidro, sulfato de magnésio hepta-hidratado, sulfato de manganésio mono-hidratado e água purificada. Qual o aspeto de Lacteol e conteúdo da embalagem. Lacteol apresenta-se na forma farmacêutica de cápsulas de cor branca em embalações de 20 unidades, acondicionadas em blisters de Alu/PVC-PCTFE-PVC.')"
Em que situações não devo tomar Lorazepam Pharmakern?,"1) Se tiver alergia à lorazepam ou a outros fármacos do grupo dasbenzodiazepinas.2) Se tiver miastenia gravis (músculos muito fracos ou cansados).3) Se tiver insuficiência respiratória grave.4) Se tiver síndrome da apneia do sono (interrupção da respiraçãodurante o sono).5) Se tiver insuficiência hepática grave.
        '''}
    }"
Quais são os efeitos colaterais do Rytmonorm?,"
        """"""
        
        # Aqui irei colocar o código para fazer a conversão dos textos
        print(""-"" * 35)
        print(f""\n{time()} - {self.__class__.__name__} - Iniciando..."")
        self._conversao_texto()
        print(""\n"" + ""-""*27)
        print(f""{time()} - {self.__class__.__name__} - Conclusão!"")
    
    def _conversao_texto(self):
        """"""
        Método responsável por converter os textos de entrada/saída para formato desejado
        :return: Nenhum retorno
        """"""
        try:
            with open('./input/mictonorm_od.txt', 'r') as f:
                input = f.read().split('\n')[4]
                
            with open('./output/rytmonorm_efetos_colaterales.txt', 'w+') as f:
                output = ''
                for line in input.split('\n'):
                    if len(line) > 0 and not line == '\n':
                        output += line[:len(line)-1].replace('. ', '.').strip() + ""\n\n""
                
                f.write(output)
        except Exception as error:
            raise error
"
Quais são os efeitos negativos ao tomar Campral?,"1) Tremor;
            2) Diarreia;
            3) Náusea;
            4) Dor de cabeça;
            5) Insônia;
            6) Sonolência;
        """"""
    )
    def test_campral(self):
        self.assertEqual(
            'Tremor\nDiarreia\nNáusea\nDor de cabeça\nInsônia\nSonolência',
            campral()
        )"
Em que situações o remédio de Propycil é contraindicado?,"1-Se tem alergia (hipersensibilidade) ao propiltiouracilo ou a qualqueroutro componente de Propycil;2-Se teve efeitos indesejáveis graves quando utilizou medicamentosque continham propiltiouracilo, particularmente perda de glóbulos brancos(agranulocitose) e lesão inflamatória do fígado;3-Necessita que o seu médico tome especial atenção e realizem avaliaçãocuidosa se a contagem das suas células sanguíneas não está normal,se tiver problemas hepáticos (aumento das enzimas do fígado) ou se tenha problemas no fluxo da bílis (colestase);4-Alguns casos de reacções hepáticas graves, incluindo casosfatais e casos que obrigaram à transplante do fígado, foramnotificados, tanto em adultos quanto em crianças tratadas compropiltiouracilo.5-Informe imediatamente o seu médico se desenvolver sintomas dedoença hepática, tais como dor na parte superior direita do abdômen,nausea, vômito, diarréia escura, febre alta, fraqueza muscular,confusão mental, sonolência excessiva, icterícia (cor amarelada), urinaescura, pigmentação dos olhos e das mucosas, desmaios, convulsões,perda de peso, aumento da quantidade de orina produzida, diminuição doapetite, náuseas persistentes, dor de cabeça constante, visão turva,cansaço excessivo, inchaço nas pernas e nos braços, pele macia,pele esbranquiçada, pele semelhante à couro cru, pele arredondadainchada, pele dura, pele rija, pele lisa, pele brilhante, pele semelhantodas folhas de árvore, pele semelhante à pelúcida, pele semelhantesubstâncias líquidas"
Magnesona pode causar sonolência ou afetar minha habilidade de operar veículo?,"1) Sim, magnesona causa sonolência;
            2) Não, magnesona não causa sonolência;
            3) Não sei, eu preciso pesquisar mais sobre esse assunto;
        '''),
    'name': 'Magnesona',
}"
Quais são possíveis efeitos colaterais gastrointestinais de Magnesona?,"
        """"""
        return self._magnesona_efeitos_colaterais_gastrointestinais()

    @property
    def magnesona_efectos_secundarios(self):
        """"""Getter para magnesona_efectos_secundarios""""""
        if self.__getattribute__('_values') == None:
            self._set_initial_value
        return self._magnesona_efectos_secundarios()

    @magnesona_efectos_secundarios.setter
    def magnesona_efectos_secundarios(self, value=None):
        """"""Setter para magnesona_efectos_secundarios""""""
        if self.__setattr__({'magnesona_efectos_secundarios': value}):
            try:
                self._set_derived_attribute(""magnesona_efectos_secundarios"")
            except AttributeError:
                pass
    
    def _magnesona_efectos_secundarios(self):
        r""""""Determine the magnesona_efectos_secundarios property for EfetuacaoMedicamentosa.

        Getter for magnesona_efectos_secundarios.

        :returns: The magnesona_efectos_secundarios of this EfetuacaoMedicamentosa.
        :rtype: str

        **Example:**

       .. code-block:: python

            import sys
            from google.cloud import dialogflowcx_v3beta1

            # TODO(developer): Uncomment these lines before running the sample.
            project = 'YOUR PROJECT ID OR NUMBER'
            location = 'us-central1'
            session_name ='session-name'

            client = dialogflowcx_v3beta1.DialogflowCxClient(project=project, region=location)

            response = client.detectIntent(
                session=session_name,
                query_input='{""text"": ""Quais são possíveis efeitos colaterais gastrointestinais de Magnesona?""}'
            )['response']['result"
Salagen pode ser utilizado por pessoas com histórico de problemas cardíacos ou respiratórios?,"1 - Sim, pois ele possui pouca toxicidade para os rins e pele.2 - Não, pois ele causa hipertensão arterial.3 - Não, pois ele causa hipotensão arterial.4 - Não, pois ele causa disfunção ventricular esquerda.5 - Não, pois ele causa disfunção ventricular direita.6 - Não, pois ele causa disfunção miocárdica.7 - Não, pois ele causa disfunção coronária.8 - Não, pois ele causa disfunção vascular.9 - Não, pois ele causa disfunção venosa.10 - Não, pois ele causa disfunção valvular.11 - Não, pois ele causa disfunção endotelial.12 - Não, pois ele causa disfunção microvascular.13 - Não, pois ele causa disfunção macrovascular.14 - Não, pois ele causa disfunção plaquetária.15 - Não, pois ele causa disfunção tromboembolismo.16 - Não, pois ele causa disfunção vasospástica.17 - Não, pois ele causa disfunção vasodilatação.18 - Não, pois ele causa disfunção neurogenia.19 - Não, pois ele causa disfunção neuropatia.20 - Não, pois ele causa disfunção neuromuscular.21 - Não, pois ele causa disfunção neurológica.22 - Não, pois ele causa disfunção psicológica.23 - Não, pois ele causa disfunção psiquiátrica.24 - Não, pois ele causa disfunção reprodutor.25 - Não, pois ele causa disfunção sistêmica.26 - Não, pois ele causa disfunção ureteral.27 - Não, pois ele causa disfunção urinária.28 - Não, pois ele causa disfunção gastrintestinal.29 - Não, pois ele causa disfunção intestino"
Como posso conservar o Pipermel?,"1) Manter fora do alcance e da vista das crianças.
            2) Embalagem fechada: Conservar a temperatura inferior a 30ºC. Conservar ao abrigo da luze da humidade
            3) Prazo de validade após abertura do frasco: Conservar a temperatura inferior a 30ºC.
            4) Conservar ao abrigo da luz e da humidade.
            5) Após a primeira abertura do frasco, o prazo de validade é de 3 meses.
            6) Não utilize Pipermel após o prazo de validade impresso no rótulo do frasco e na embalação exterior a seguir a “Val”. O prazo de validade corresponde ao último dia do mês indicado.
            7) Os medicamentos não devem ser eliminados na canalização ou no lixo doméstico.
            8) Pergunte ao seu farmacêutico como eliminar os medicamentos de que já não necessite.
            9) Estas medidas irão ajudar a proteger o ambiente.
        '''}
    }"
Qual é a composição de Combantrin?,"
        ''')
    def test_combantrine(self):
        self.assertEqual(
            'Combantrine',
            self.bot.get_answer('qual é a composição de combantrine')
        )"
Para que serve Benadon?,"1) Para evitar deficiência de Vitamina B6;
            2) Para tratar anemia megalobólica;
            3) Para tratar desordens neurológicas;
            4) Para tratar síndrome de Beriberi;
            5) Para tratar cefaleia;
            6) Para tratar insuficiência renal;
            7) Para tratar esclerose múltipla;
            8) Para tratar diabetes tipo II;
            9) Para tratar hipertireoidismo;
            10) Para tratar disfunção erétil;
            11) Para tratar distonia;
            12) Para tratar neuropatia periférica;
            13) Para tratar mal de Parkinson;
            14) Para tratar alergia alimentar;
            15) Para tratar artrite reumatóide;
            16) Para tratar síndrome de Tourette;
            17) Para tratar acrodermatitis atópica;
            18) Para tratar psoríase;
            19) Para tratar dermatite atópica;
            20) Para tratar lupus;
            21) Para tratar miastenia gravis;
            22) Para tratar fibromialgia;
            23) Para tratar síndrome de fatiga crônica;
            24) Para tratar síndrome de intestino irritável;
            25) Para tratar síndrome de vasoespástico primária;
            26) Para tratar síndrome de Raynaud;
            27) Para tratar síndrome de Menière;
            28) Para tratar síndrome de Ménière;
            29) Para tratar síndrome de Méniére;
            30) Para tratar síndrome de Méniere;
            31) Para tratar síndrome de Ménières;
            32) Para tratar síndrome de Ménièrs;
            33) Para tratar síndrome de Ménières;
            34) Para tratar síndrome de Méni"
Como devo tomar Feldene?,"1) Tomar uma dosagem única diária;2) Após a ingestão, não deve-se realizar exercício físico por pelo menos duas horas;3) Necessita ser administrado com cuidados devido ao risco de reacções adversas graves (por exemplo, anemia hemolitica);4) O uso prolongado pode causar danos renais permanentes;5) Pode causar hipotensão arterial grave;6) Em casos raros, podem ocorrer erupção cutânea, febre, hepatite, insuficiência cardíaca congestiva, leucopenia, neutropenia, tromboflebítide, urticaria, vasculites, pancitopenia, agranulocitose, esplenomegalia, epidêmicas, linfadenopatia, dermatite bullosa, prurido, edema pulmonar, neuropatia periférica, miastênia gravis, convulsões, paralisia facial, cefaleia, vertigem, tontura, alterações visual, hipertrigliceriedemia, icterícia, coloração amarelada da pele, aumento da concentração plasmática de bilirrubinas diretamente relacionadas à presença de lesões hepáticas, disfunção renal aguda, insuficiência renal crônica, glomerulonefrite, necrose tubular aguda, síndrome de Stevens-Johnson, síncope, taquicardia ventricular, infarto agudo do miocárdio, angina instável, acidente vascular cerebral, desmaios, morte súbita, e até mesmo suicídio.
        '''}
    }"
Alipza pode ser aplicado a pessoas com histórico de doenças hepáticas?,"1- Sim, mas apenas sob supervisão médica;2- Não, pois este fármaco pode causar danos às células hepatíticas;3- Não, pois este fármaco causa danos aos rins;4- Não, pois este fármaco causa danos ao sistema nervoso central;5- Não, pois este fármaco causa danos ao sistema cardiovascular;6- Não, pois este fármaco causa danos ao sistema respiratório;7- Não, pois este fármaco causa danos ao sistema digestivo;8- Não, pois este fármaco causa danos ao sistema reprodutor;9- Não, pois este fármaco causa danos ao sistema circulatório;10- Não, pois este fármaco causa danos ao sistema endocrino;11- Não, pois este fármaco causa danos ao sistema imunológico;12- Não, pois este fármaco causa danos ao sistema inteiro;13- Não, pois este fármaco causa danos ao sistema musculo esquelético;14- Não, pois este fármaco causa danos ao sistema inteiro;15- Não, pois este fármaco causa danos ao sistema inteiro;16- Não, pois este fármaco causa danos ao sistema inteiro;17- Não, pois este fármaco causa danos ao sistema inteiro;18- Não, pois este fármaco causa danos ao sistema inteiro;19- Não, pois este fármaco causa danos ao sistema inteiro;20- Não, pois este fármaco causa danos ao sistema inteiro;21- Não, pois este fármaco causa danos ao sistema inteiro;22- Não, pois este fármaco causa danos ao sistema inteiro;23- Não, pois este fármaco causa danos ao sistema inteiro;24- Não, pois este fármaco causa danos ao sistema inteiro;25- Não, pois este fármaco causa danos ao sistema inteiro;26- Não, po"
Quais são os efeitos secundários de Selexid?," Efeitos secundários mais frequentes: Sonolência, erupção cutânea, náusea e diarreia.Efeitos secundários menos frequentes: Dores musculares, dor de cabeça, insônia, vertigens, vómitos, anorexia, constipação, flatulências, gastrite, hepatotoxicidade, icterícia, leucopenia, neutropenia, prurido, retenção urinar, sensibilidade à luz, sudorese, taquicardia, tremores, urticária, vasculites, febre, cefaleia, dispnéia, edema pulmonar, hipoglicemia, hipertireoidismo, miopatia, neuropatia, pancitopenia, poliartrite, psoriasis, retinopatia, sialorréia, esclerose múltipla, alterações na função renal, colestase, disfunção sexual, distúrbios visuais, artralgia, atrofia muscular, aumento da massa corporal, diminuição da libido, dor nas costelas, fraqueza muscular, inchaço dos membros inferiores, inflamação das articulações, lesões nos tendões, linfadenopatias, mal-estar geral, manchas escurecidas na pele, mudança no apetite, nervosismo, obstrução intestinal, paralisia facial, perda de peso, rigidez muscular, sintomas respiratórios, sonolência, supressão da secreção salivar, tosse, transtornos mentais, tumores, ulceração oral, vermelhidão da pele, acne, alopecia, dermatite, exantemas, fotofobia, furunculoses, herpes zoster, impaciência, infecções virales, inquietação, irritabilidade, jante, limpeza excessiva, melhora do humor, movimentos involuntários, olho vermelho, palidez, pânico, prejuízos cognitivos, problemas para concentrar, raiva"
Como devo tomar Neupro?,"1) Tomem Neupro uma vez por dia;2) Aplique-se nas áreas onde tenha dor;3) Não apliquem Neuro mais de duas vezes ao mesmo tempo;4) Se tiver alguma reacção adversa à aplicação de Neupro, parar imediatamente a sua utilização e contactar o seu médico;5) Utilizem sempre o mesmo local diferente das outras partes do corpo (por exemplo, tronco);6) Atenção! O seu médico deve verificar regularmente a sua saúde.7) Consulte o seu médico caso experimente qualquer tipo de sintoma incomum.8) Para obter mais informações, consulte o seu médico ou farmacêutico.9) Pode consultar o site www.medicines.ie/medicine-information/POM/Neupro+PIL.pdf para obter mais informações sobre Neupro.

    """"""
    
    def __init__(self):
        
        self.__name = None
        self.__definition = None
        self.__contraindications = []
        self.__posologies = []
        self.__side_effects = []
        self.__storage = None
        self.__posologies = []
        self.__perguntas = {}
        self.__respostas = {}
        self.__contexto = """"
        self.__pergunta = """"
        self.__resposta = """"
        self.__lista_palavras = []
        self.__listagem_dicionario = []
        self.__dicionario = Dicionarios()
        self.__modelo = Model()
        self.__parser = Parser()
        self.__tokenizer = Tokenizer()
        self.__entities = Entidades()
        self.__classe = Classes()
        self.__ngrams = NGrams()
        self.__corpus = Corpus()
        self.__texto = """"
        self.__id = None
        self.__nome_arquivo = None
        self.__path_dir = None
        self.__path_file = None
        self.__dataframe = pd.DataFrame(columns=['ID', 'NAME', 'DEFINITION', 'CONTRAINDICATIONS',"
Quais são os componentes presentes na composição de Serevent?,"
        """"""
        
        # Entradas
        name = input(""Nome do medicamento: "")
        definition = input(""Definição do medicamento: "")
        contraindications = input(""Contra-indicações: "")
        posologies = input(""Posologia: "")
        side_effects = input(""Efeitos colaterais: "")
        storage = input(""Armazenamento: "")
        posology = input(""Posologia: "")

        # Saída
        print('''
                    --------------------------------
                     |   Bem vindo ao programa!      |
                    --------------------------------
                    Nome: {}
                    Definição: {}
                    Contra-Indicações: {}
                    Posologia: {}
                    Efeitos Colaterais: {}
                    Armazenamento: {}
                    Posologia: {}
                '''.format(name,definition,contraindications,posologies,side_effects,storage,posology))
"
Quais são os efeitos colaterais ao tomar Ursofalk?,"1) Efeitos gastrointestinais (dores de estômagos, náuseas, vômitos, diarréias);2) Dores musculares;3) Dor de cabeça;4) Tontura;5) Cefaleia;6) Fadiga;7) Inchaço das mãos e pés;8) Aumento do peso;9) Alterações nos testes de função hepática;10) Alteração nas funções renais;11) Hipertrigliceriedemia;12) Hipoglucose;13) Prurido;14) Exantema;15) Rash;16) Urticária;17) Anorexia;18) Insuficiência cardíaca congestiva;19) Arritmias ventriculares;20) Disfunção miotubular;21) Mialgia;22) Pancitopenia;23) Leucopénia;24) Neuropatia sensorial;25) Parestesia;26) Conjuntivite;27) Retinopatia;28) Glaucoma;29) Hepatomegalia;30) Colangiopatía;31) Pancreatite;32) Encefalopatia;33) Polineuropatia;34) Esclerodermia;35) Lupus eritematoso sistêmico;36) Doença autoimune;37) Glomerulonefrite;38) Vasculites;39) Miastenia gravis;40) Refluxo gastrítico;41) Gota;42) Febre;43) Diabetes;44) Acidente vascular cerebral;45) Infarto agudo do miocárdio;46) Cardiomiopatia dilatada;47) Insuficiência cardíaca;48) Atrial fibrillation;49) Arritmias ventriculares;50) Angina instável;51) Ataque cardíaco;52) AVC;53) Hemorragia int"
